Station,Waterfront,Burrard,Granville,Stadium-Chinatown,Main,Commercial-Broadway,Nanaimo,29th Avenue,Joyce,Patterson,Metrotown,Royal Oak,Edmonds,22nd Street,New Westminster,Columbia,Scott Road,Gateway,Surrey Central,King George
Waterfront,,2,3,4,6,9,12,13,15,17,18,20,23,25,29,30,33,36,37,39
Burrard,2,,1,2,4,7,10,11,13,15,16,18,21,23,27,28,31,34,36,37
Granville,3,1,,1,3,6,9,10,12,14,15,17,20,22,26,27,30,33,34,36
Stadium-Chinatown,4,2,1,,2,5,8,9,11,13,14,16,19,21,25,26,29,32,33,35
Main,6,4,3,2,,3,6,7,9,11,12,14,17,19,23,24,27,30,31,33
Commercial-Broadway,9,7,6,5,3,,3,4,6,8,9,11,14,16,20,21,24,27,28,30
Nanaimo,12,10,9,8,6,3,,1,3,5,6,8,11,13,17,18,21,22,24,26
29th Avenue,13,11,10,9,7,4,1,,2,4,5,7,10,12,16,17,20,23,24,26
Joyce,15,13,12,11,9,6,3,2,,2,3,5,8,10,14,15,18,21,22,24
Patterson,17,15,14,13,11,8,5,4,2,,1,3,6,6,12,13,16,19,20,22
Metrotown,18,16,15,14,12,9,6,5,3,1,,3,5,9,10,13,16,17,19,21
Royal Oak,20,18,17,16,14,11,8,7,5,3,2,,2,5,7,10,13,14,16,19
Edmonds,23,21,20,19,17,14,11,10,8,6,5,3,,4,5,8,11,12,14,16
22nd Street,25,23,22,21,19,16,13,12,10,6,7,5,2,,1,4,7,8,10,14
New Westminster,29,27,26,25,23,20,17,16,14,12,11,9,5,4,,3,6,7,9,10
Columbia,30,28,27,26,24,21,18,17,15,13,12,10,7,5,1,,3,4,6,9
Scott Road,33,31,30,29,27,24,21,20,18,16,15,13,10,8,4,3,,1,3,6
Gateway,36,34,33,32,30,27,22,23,21,19,18,16,13,11,7,6,3,,1,3
Surrey Central,37,36,34,33,31,28,24,24,22,20,19,17,14,12,8,7,4,1,,2
King George,39,37,36,35,33,30,26,26,24,22,21,19,16,14,10,9,6,3,2,
